model,method,forget_split,stage,ES,dES,U
LLaMA-3.2-1B,FRP,forget10,forget,0.0899,+0.0275,0.4318
LLaMA-3.2-1B,FRP,forget10,forget_retain,0.1214,+0.0590,0.4881
LLaMA-3.2-1B,FRP-RV(p=0.15),forget01,pure,0.0734,,0.4706
LLaMA-3.2-1B,FRP-RV(p=0.15),forget01,retain,0.0741,+0.0007,0.5047
LLaMA-3.2-1B,FRP-RV(p=0.15),forget01,forget,0.0734,+0.0000,0.4706
LLaMA-3.2-1B,FRP-RV(p=0.15),forget01,forget_retain,0.1110,+0.0376,0.5071
LLaMA-3.2-1B,FRP-RV(p=0.15),forget05,pure,0.1028,,0.4964
LLaMA-3.2-1B,FRP-RV(p=0.15),forget05,retain,0.1569,+0.0540,0.5304
LLaMA-3.2-1B,FRP-RV(p=0.15),forget05,forget,0.1597,+0.0569,0.5045
LLaMA-3.2-1B,FRP-RV(p=0.15),forget05,forget_retain,0.2533,+0.1504,0.5276
LLaMA-3.2-1B,FRP-RV(p=0.15),forget10,pure,0.1199,,0.5139
LLaMA-3.2-1B,FRP-RV(p=0.15),forget10,retain,0.1672,+0.0473,0.5440
LLaMA-3.2-1B,FRP-RV(p=0.15),forget10,forget,0.1801,+0.0601,0.5195
LLaMA-3.2-1B,FRP-RV(p=0.15),forget10,forget_retain,0.2372,+0.1173,0.5444
LLaMA-3.2-3B,GA,forget01,pure,0.2374,,0.6675
LLaMA-3.2-3B,GA,forget01,retain,0.2443,+0.0069,0.6593
LLaMA-3.2-3B,GA,forget01,forget,0.4020,+0.1646,0.6638
LLaMA-3.2-3B,GA,forget01,forget_retain,0.4170,+0.1796,0.6579
LLaMA-3.2-3B,GA,forget05,pure,0.0913,,0.4843
LLaMA-3.2-3B,GA,forget05,retain,0.3155,+0.2242,0.6636
LLaMA-3.2-3B,GA,forget05,forget,0.1654,+0.0741,0.5841
LLaMA-3.2-3B,GA,forget05,forget_retain,0.4915,+0.4002,0.6695
LLaMA-3.2-3B,GA,forget10,pure,0.0325,,0.0000
LLaMA-3.2-3B,GA,forget10,retain,0.4334,+0.4009,0.6892
LLaMA-3.2-3B,GA,forget10,forget,0.0984,+0.0659,0.3948
LLaMA-3.2-3B,GA,forget10,forget_retain,0.5813,+0.5487,0.6915
LLaMA-3.2-3B,GradDiff,forget01,pure,0.3175,,0.6614
LLaMA-3.2-3B,GradDiff,forget01,retain,0.3566,+0.0391,0.6573
LLaMA-3.2-3B,GradDiff,forget01,forget,0.5013,+0.1838,0.6678
LLaMA-3.2-3B,GradDiff,forget01,forget_retain,0.4838,+0.1663,0.6585
LLaMA-3.2-3B,GradDiff,forget05,pure,0.1615,,0.5621
LLaMA-3.2-3B,GradDiff,forget05,retain,0.3847,+0.2232,0.6591
LLaMA-3.2-3B,GradDiff,forget05,forget,0.3837,+0.2222,0.6426
LLaMA-3.2-3B,GradDiff,forget05,forget_retain,0.5433,+0.3818,0.6589
LLaMA-3.2-3B,GradDiff,forget10,pure,0.1068,,0.5295
LLaMA-3.2-3B,GradDiff,forget10,retain,0.3970,+0.2902,0.6563
LLaMA-3.2-3B,GradDiff,forget10,forget,0.4777,+0.3709,0.6516
LLaMA-3.2-3B,GradDiff,forget10,forget_retain,0.6319,+0.5251,0.6635
LLaMA-3.2-3B,NPO,forget01,pure,0.1191,,0.6547
LLaMA-3.2-3B,NPO,forget01,retain,0.1382,+0.0190,0.6572
LLaMA-3.2-3B,NPO,forget01,forget,0.1824,+0.0632,0.6577
LLaMA-3.2-3B,NPO,forget01,forget_retain,0.1868,+0.0677,0.6531
LLaMA-3.2-3B,NPO,forget05,pure,0.0701,,0.6616
LLaMA-3.2-3B,NPO,forget05,retain,0.1014,+0.0313,0.6622
LLaMA-3.2-3B,NPO,forget05,forget,0.1379,+0.0678,0.6401
LLaMA-3.2-3B,NPO,forget05,forget_retain,0.2586,+0.1885,0.6672
LLaMA-3.2-3B,NPO,forget10,pure,0.0574,,0.6741
LLaMA-3.2-3B,NPO,forget10,retain,0.0846,+0.0272,0.6768
LLaMA-3.2-3B,NPO,forget10,forget,0.2044,+0.1470,0.6504
LLaMA-3.2-3B,NPO,forget10,forget_retain,0.3962,+0.3388,0.6718
LLaMA-3.2-3B,RMU,forget01,pure,0.0746,,0.6605
LLaMA-3.2-3B,RMU,forget01,retain,0.2367,+0.1621,0.6628
LLaMA-3.2-3B,RMU,forget01,forget,0.2400,+0.1654,0.6617
LLaMA-3.2-3B,RMU,forget01,forget_retain,0.7211,+0.6465,0.6610
LLaMA-3.2-3B,RMU,forget05,pure,0.0542,,0.6652
LLaMA-3.2-3B,RMU,forget05,retain,0.0731,+0.0190,0.6653
LLaMA-3.2-3B,RMU,forget05,forget,0.1020,+0.0478,0.6639
