model,method,forget_split,L2,FRAG_pct,cosF_pct,cosR_pct
LLaMA-3.2-3B,GA,forget01,0.576300,0.001539,2.387481,2.385942
LLaMA-3.2-3B,GA,forget05,1.473427,0.002239,0.818020,0.815780
LLaMA-3.2-3B,GA,forget10,2.041431,0.002835,0.974480,0.971645
LLaMA-3.2-3B,GradDiff,forget01,0.503037,0.007969,2.083687,2.075718
LLaMA-3.2-3B,GradDiff,forget05,1.046150,0.003406,0.752707,0.749301
LLaMA-3.2-3B,GradDiff,forget10,1.257248,0.002909,0.555836,0.552927
LLaMA-3.2-3B,NPO,forget01,1.031735,0.003602,0.915641,0.912038
LLaMA-3.2-3B,NPO,forget05,2.023609,0.001479,0.621165,0.619685
LLaMA-3.2-3B,NPO,forget10,2.559036,0.000167,0.601835,0.601668
LLaMA-3.2-3B,RMU,forget01,0.877128,0.016291,0.733179,0.716888
LLaMA-3.2-3B,RMU,forget05,2.272396,0.000642,0.344248,0.343606
LLaMA-3.2-3B,RMU,forget10,3.081720,0.002770,0.361515,0.358746
LLaMA-3.2-3B,SP,forget01,192.288392,1.627589,16.769095,15.141507
LLaMA-3.2-3B,SP,forget05,191.666223,0.615195,16.356191,15.740996
LLaMA-3.2-3B,SP,forget10,191.778452,0.580333,16.272064,15.691731
LLaMA-3.2-3B,FRP,forget01,182.268181,5.781533,18.470966,12.689433
LLaMA-3.2-3B,FRP,forget05,182.281172,2.537143,16.565221,14.028078
LLaMA-3.2-3B,FRP,forget10,181.861523,2.295449,16.573564,14.278115
LLaMA-3.2-3B,FRP-RV(p=0.05),forget01,166.783613,6.261630,18.490733,12.229103
LLaMA-3.2-3B,FRP-RV(p=0.05),forget05,160.670149,2.628782,15.854438,13.225655
LLaMA-3.2-3B,FRP-RV(p=0.05),forget10,159.505145,2.324791,15.576215,13.251424
